@relation class
@attribute h1_dst_bytes real
@attribute h1_dst_flow real
@attribute h1_dst_pkt real
@attribute h1_src_bytes real
@attribute h1_src_flow real
@attribute h1_src_pkt real
@attribute h2_dst_bytes real
@attribute h2_dst_flow real
@attribute h2_dst_pkt real
@attribute h2_src_bytes real
@attribute h2_src_flow real
@attribute h2_src_pkt real
@attribute h3_dst_bytes real
@attribute h3_dst_flow real
@attribute h3_dst_pkt real
@attribute h3_src_bytes real
@attribute h3_src_flow real
@attribute h3_src_pkt real
@attribute h_s_2_dst_bytes real
@attribute h_s_2_dst_flow real
@attribute h_s_2_dst_pkt real
@attribute h_s_2_src_bytes real
@attribute h_s_2_src_flow real
@attribute h_s_2_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h1_rx_bytes real
@attribute port_h1_rx_crc_err real
@attribute port_h1_rx_drop real
@attribute port_h1_rx_error real
@attribute port_h1_rx_frame_err real
@attribute port_h1_rx_over_err real
@attribute port_h1_rx_pkt real
@attribute port_h1_tx_bytes real
@attribute port_h1_tx_drop real
@attribute port_h1_tx_error real
@attribute port_h1_tx_pkt real
@attribute port_h2_rx_bytes real
@attribute port_h2_rx_crc_err real
@attribute port_h2_rx_drop real
@attribute port_h2_rx_error real
@attribute port_h2_rx_frame_err real
@attribute port_h2_rx_over_err real
@attribute port_h2_rx_pkt real
@attribute port_h2_tx_bytes real
@attribute port_h2_tx_drop real
@attribute port_h2_tx_error real
@attribute port_h2_tx_pkt real
@attribute port_h3_rx_bytes real
@attribute port_h3_rx_crc_err real
@attribute port_h3_rx_drop real
@attribute port_h3_rx_error real
@attribute port_h3_rx_frame_err real
@attribute port_h3_rx_over_err real
@attribute port_h3_rx_pkt real
@attribute port_h3_tx_bytes real
@attribute port_h3_tx_drop real
@attribute port_h3_tx_error real
@attribute port_h3_tx_pkt real
@attribute port_h_s_2_rx_bytes real
@attribute port_h_s_2_rx_crc_err real
@attribute port_h_s_2_rx_drop real
@attribute port_h_s_2_rx_error real
@attribute port_h_s_2_rx_frame_err real
@attribute port_h_s_2_rx_over_err real
@attribute port_h_s_2_rx_pkt real
@attribute port_h_s_2_tx_bytes real
@attribute port_h_s_2_tx_drop real
@attribute port_h_s_2_tx_error real
@attribute port_h_s_2_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
0,0,194,8174,0,100,4875,0,65,3100,0,32,8662,0,126,8222,0,97,0,0,0,0,0,0,148877,0,0,0,0,0,562,26516,0,0,341,10812,0,0,0,0,0,146,70745,0,0,336,3100,0,0,0,0,0,32,29731,0,0,167,12912,0,0,0,0,0,171,116624,0,0,280,18383,0,0,0,0,0,17,26514,0,0,130,0,0,6,1,1,0,0,"0"
33601,2,222,8625,5,107,4725,0,63,3100,0,32,26264,2,129,8963,6,111,698,5,12,17706,2,5,131689,0,0,0,0,0,512,25271,0,0,325,11520,0,0,0,0,0,156,100388,0,0,314,3100,0,0,0,0,0,32,26026,0,0,124,11817,0,0,0,0,0,158,71035,0,0,221,22166,0,0,0,0,0,11,22767,0,0,86,0,0,8,0,1,0,0,"0"
0,0,196,8170,0,100,4725,0,63,3100,0,32,0,0,118,7625,0,88,0,0,0,0,0,0,113099,0,0,0,0,0,531,91101,0,0,372,12000,0,0,0,0,0,161,88875,0,0,289,3100,0,0,0,0,0,32,6726,0,0,93,10453,0,0,0,0,0,134,28347,0,0,171,74805,0,0,0,0,0,47,6231,0,0,96,0,0,4,0,1,0,0,"0"
15189,1,207,8597,1,106,4575,0,61,3100,0,32,8692,0,126,8022,0,94,0,0,0,0,0,0,155569,0,0,0,0,0,550,48519,0,0,373,11707,0,0,0,0,0,161,132370,0,0,339,3100,0,0,0,0,0,32,79175,0,0,162,12124,0,0,0,0,0,160,92346,0,0,235,20958,0,0,0,0,0,11,75426,0,0,116,0,0,7,0,1,0,0,"0"
12348,2,168,6822,1,84,4524,2,60,3544,1,32,5462,2,82,6652,2,80,0,0,0,84,2,2,169825,0,0,0,0,0,727,126718,0,0,460,9264,0,0,0,0,0,120,62450,0,0,519,5886,0,0,0,0,0,67,54634,0,0,411,13578,0,0,0,0,0,174,137966,0,0,494,111949,0,0,0,0,0,78,35477,0,0,397,1,0,7,0,3,6,0,"0"
15418,0,210,8499,0,105,4725,0,63,3100,0,32,8244,0,121,8222,0,97,491,5,8,0,1,0,107604,0,0,0,0,0,604,81447,0,0,368,9461,0,0,0,0,0,121,46694,0,0,355,5164,0,0,0,0,0,68,72219,0,0,230,11072,0,0,0,0,0,142,49770,0,0,278,55599,0,0,0,0,0,39,34016,0,0,191,1,0,12,0,1,3,0,"0"
15143,0,206,8283,0,102,4725,0,63,3100,0,32,55240,4,152,9359,5,114,0,0,0,0,0,0,193366,0,0,0,0,0,583,77983,0,0,425,11490,0,0,0,0,0,153,111014,0,0,307,5274,0,0,0,0,0,69,48002,0,0,135,12569,0,0,0,0,0,168,97305,0,0,227,66176,0,0,0,0,0,41,27224,0,0,123,0,0,8,0,1,0,0,"0"
15293,0,208,8542,0,105,4725,0,63,3100,0,32,0,0,111,7266,0,84,42,1,1,42,1,1,194419,0,0,0,0,0,652,83258,0,0,414,9987,0,0,0,0,0,130,82283,0,0,371,6824,0,0,0,0,0,88,131101,0,0,267,11738,0,0,0,0,0,155,78872,0,0,294,56044,0,0,0,0,0,40,51540,0,0,189,1,0,9,0,1,3,0,"0"
33191,3,221,8754,5,109,7245,3,65,3421,5,37,19196,1,116,9726,0,121,1800,8,27,31424,5,7,177401,0,0,0,0,0,590,64240,0,0,390,13186,0,0,0,0,0,182,161056,0,0,372,4147,0,0,0,0,0,49,78047,0,0,182,12437,0,0,0,0,0,164,103031,0,0,258,75439,0,0,0,0,0,36,67159,0,0,180,0,0,8,0,1,0,0,"0"
0,0,191,7991,0,97,2205,0,61,2779,0,27,0,0,0,0,0,0,0,0,0,0,0,0,85143,0,0,0,0,0,457,47195,0,0,283,9461,0,0,0,0,0,122,37785,0,0,272,5065,0,0,0,0,0,60,49286,0,0,138,6826,0,0,0,0,0,95,45379,0,0,145,66862,0,0,0,0,0,42,8093,0,0,111,0,0,5,1,1,0,0,"0"
15274,0,208,8423,0,104,4809,1,65,3142,1,33,0,0,0,0,0,0,0,0,0,0,0,0,138318,0,0,0,0,0,485,71031,0,0,278,10622,0,0,0,0,0,139,91128,0,0,343,6505,0,0,0,0,0,88,88709,0,0,211,1958,0,0,0,0,0,33,70102,0,0,137,89479,0,0,0,0,0,41,42083,0,0,174,0,0,8,0,1,0,0,"0"
33311,2,218,8965,5,114,4641,0,61,3058,0,31,0,0,0,0,0,0,0,0,0,0,0,0,195314,0,0,0,0,0,542,185722,0,0,359,11246,0,0,0,0,0,153,131747,0,0,373,9421,0,0,0,0,0,125,216757,0,0,294,1597,0,0,0,0,0,26,95553,0,0,155,224808,0,0,0,0,0,93,103555,0,0,285,0,0,9,0,1,0,0,"0"
0,0,194,7780,0,92,4725,0,63,3100,0,32,0,0,0,0,0,0,0,0,0,0,0,0,135094,0,0,0,0,0,428,15805,0,0,205,9558,0,0,0,0,0,124,127900,0,0,368,5675,0,0,0,0,0,75,102188,0,0,212,1993,0,0,0,0,0,35,131131,0,0,177,36020,0,0,0,0,0,20,96383,0,0,181,1,0,7,1,1,3,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,0,0,0,0,0,0,84,1,2,42,1,1,129821,0,0,0,0,0,404,35772,0,0,252,11461,0,0,0,0,0,157,81410,0,0,289,5136,0,0,0,0,0,68,65037,0,0,144,2149,0,0,0,0,0,37,66242,0,0,82,53925,0,0,0,0,0,28,26769,0,0,105,0,0,6,0,1,0,0,"0"
15452,0,210,8374,0,103,22893,2,75,3100,0,32,84,1,2,42,1,1,0,0,0,19352,2,8,123169,0,0,0,0,0,481,110030,0,0,300,10327,0,0,0,0,0,137,56783,0,0,319,5078,0,0,0,0,0,66,45512,0,0,175,2972,0,0,0,0,0,50,64392,0,0,129,127054,0,0,0,0,0,63,10288,0,0,176,0,0,10,0,1,0,0,"0"
15274,0,208,8451,0,104,0,0,51,3100,0,32,27102,1,15,0,0,0,156,3,2,0,1,0,174747,0,0,0,0,0,480,37362,0,0,258,14267,0,0,0,0,0,184,169054,0,0,398,4608,0,0,0,0,0,58,65309,0,0,202,1018,0,0,0,0,0,18,78523,0,0,147,36448,0,0,0,0,0,27,62855,0,0,178,0,0,10,0,1,0,0,"0"
14838,0,202,8344,0,103,4809,1,65,3142,1,33,0,0,0,0,0,0,0,0,0,42,0,1,206256,0,0,0,0,0,466,30216,0,0,293,10656,0,0,0,0,0,143,84047,0,0,308,7745,0,0,0,0,0,109,144952,0,0,215,2073,0,0,0,0,0,36,89796,0,0,116,21856,0,0,0,0,0,20,52028,0,0,112,0,0,8,1,1,0,0,"0"
15452,0,210,8401,0,103,4641,0,61,3058,0,31,42,1,1,42,1,1,0,0,0,0,0,0,70521,0,0,0,0,0,387,46273,0,0,219,9869,0,0,0,0,0,128,42848,0,0,281,4328,0,0,0,0,0,53,36877,0,0,140,1442,0,0,0,0,0,25,26104,0,0,73,48587,0,0,0,0,0,24,11921,0,0,101,0,0,7,0,1,0,0,"0"
