@relation class
@attribute h7_dst_bytes real
@attribute h7_dst_flow real
@attribute h7_dst_pkt real
@attribute h7_src_bytes real
@attribute h7_src_flow real
@attribute h7_src_pkt real
@attribute h8_dst_bytes real
@attribute h8_dst_flow real
@attribute h8_dst_pkt real
@attribute h8_src_bytes real
@attribute h8_src_flow real
@attribute h8_src_pkt real
@attribute h9_dst_bytes real
@attribute h9_dst_flow real
@attribute h9_dst_pkt real
@attribute h9_src_bytes real
@attribute h9_src_flow real
@attribute h9_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_h7_rx_bytes real
@attribute port_h7_rx_crc_err real
@attribute port_h7_rx_drop real
@attribute port_h7_rx_error real
@attribute port_h7_rx_frame_err real
@attribute port_h7_rx_over_err real
@attribute port_h7_rx_pkt real
@attribute port_h7_tx_bytes real
@attribute port_h7_tx_drop real
@attribute port_h7_tx_error real
@attribute port_h7_tx_pkt real
@attribute port_h8_rx_bytes real
@attribute port_h8_rx_crc_err real
@attribute port_h8_rx_drop real
@attribute port_h8_rx_error real
@attribute port_h8_rx_frame_err real
@attribute port_h8_rx_over_err real
@attribute port_h8_rx_pkt real
@attribute port_h8_tx_bytes real
@attribute port_h8_tx_drop real
@attribute port_h8_tx_error real
@attribute port_h8_tx_pkt real
@attribute port_h9_rx_bytes real
@attribute port_h9_rx_crc_err real
@attribute port_h9_rx_drop real
@attribute port_h9_rx_error real
@attribute port_h9_rx_frame_err real
@attribute port_h9_rx_over_err real
@attribute port_h9_rx_pkt real
@attribute port_h9_tx_bytes real
@attribute port_h9_tx_drop real
@attribute port_h9_tx_error real
@attribute port_h9_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0}
@data
15143,0,206,8359,0,103,4725,0,63,3017,0,31,8596,0,125,8156,0,96,29490,0,0,0,0,0,409,21169,0,0,254,8359,0,0,0,0,0,103,16435,0,0,224,3100,0,0,0,0,0,32,6017,0,0,81,9410,0,0,0,0,0,115,9954,0,0,144,0,0,0,0,0,0,0,"0"
15147,0,206,8386,0,103,4725,0,63,3100,0,32,8624,0,125,8265,1,99,29456,0,0,0,0,0,408,21173,0,0,255,8386,0,0,0,0,0,103,16505,0,0,225,3100,0,0,0,0,0,32,6083,0,0,82,9387,0,0,0,0,0,116,9916,0,0,143,0,0,0,0,0,0,0,"0"
15418,0,210,8345,0,103,4725,0,63,3183,0,33,8388,0,122,7859,0,93,29071,0,0,0,0,0,403,20924,0,0,252,8345,0,0,0,0,0,103,16290,0,0,222,3100,0,0,0,0,0,32,5885,0,0,79,9179,0,0,0,0,0,113,9548,0,0,138,0,0,0,0,0,0,0,"0"
15164,0,206,8374,0,103,4725,0,63,3100,0,32,8734,0,127,8486,1,101,29859,0,0,0,0,0,414,21341,0,0,256,8465,0,0,0,0,0,104,16732,0,0,228,3100,0,0,0,0,0,32,6149,0,0,83,9476,0,0,0,0,0,116,10158,0,0,147,0,0,0,0,0,0,0,"0"
12780,2,174,6976,1,86,4746,2,63,3544,1,32,5742,2,86,6907,1,82,58100,0,0,0,0,0,752,25817,0,0,288,8160,0,0,0,0,0,101,52080,0,0,636,4953,0,0,0,0,0,50,44132,0,0,526,8945,0,0,0,0,0,110,46112,0,0,562,0,0,0,0,0,0,0,"0"
15130,0,206,8345,0,103,4725,0,63,3100,0,32,6578,0,99,8199,1,98,65289,0,0,0,0,0,959,22464,0,0,268,8415,0,0,0,0,0,104,53738,0,0,790,3170,0,0,0,0,0,33,43333,0,0,647,9391,0,0,0,0,0,116,47094,0,0,707,0,0,0,0,0,0,0,"0"
15452,0,210,8556,0,105,4725,0,63,3100,0,32,6012,0,92,8189,0,98,62050,0,0,0,0,0,926,21237,0,0,255,8556,0,0,0,0,0,105,49360,0,0,746,3100,0,0,0,0,0,32,38633,0,0,599,9179,0,0,0,0,0,113,42224,0,0,657,0,0,0,0,0,0,0,"0"
15274,0,208,8423,0,104,4725,0,63,3100,0,32,6358,0,97,8222,0,97,66387,0,0,0,0,0,992,21906,0,0,263,8493,0,0,0,0,0,105,53666,0,0,810,3100,0,0,0,0,0,32,43117,0,0,665,9740,0,0,0,0,0,120,46980,0,0,727,0,0,0,0,0,0,0,"0"
15287,0,208,8359,0,103,4725,0,63,3100,0,32,6644,0,100,8271,0,99,63262,0,0,0,0,0,948,21292,0,0,257,8359,0,0,0,0,0,103,50601,0,0,769,3170,0,0,0,0,0,33,40183,0,0,626,9463,0,0,0,0,0,117,43796,0,0,684,0,0,0,0,0,0,0,"0"
15293,0,208,8542,0,105,4725,0,63,3100,0,32,7546,0,112,8288,0,98,63346,0,0,0,0,0,948,21418,0,0,257,8542,0,0,0,0,0,105,50363,0,0,764,3100,0,0,0,0,0,32,39651,0,0,617,9476,0,0,0,0,0,116,43516,0,0,679,0,0,0,0,0,0,0,"0"
