@relation class
@attribute h_s_1_dst_bytes real
@attribute h_s_1_dst_flow real
@attribute h_s_1_dst_pkt real
@attribute h_s_1_src_bytes real
@attribute h_s_1_src_flow real
@attribute h_s_1_src_pkt real
@attribute hmi_dst_bytes real
@attribute hmi_dst_flow real
@attribute hmi_dst_pkt real
@attribute hmi_src_bytes real
@attribute hmi_src_flow real
@attribute hmi_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_2_s_rx_bytes real
@attribute port_2_s_rx_crc_err real
@attribute port_2_s_rx_drop real
@attribute port_2_s_rx_error real
@attribute port_2_s_rx_frame_err real
@attribute port_2_s_rx_over_err real
@attribute port_2_s_rx_pkt real
@attribute port_2_s_tx_bytes real
@attribute port_2_s_tx_drop real
@attribute port_2_s_tx_error real
@attribute port_2_s_tx_pkt real
@attribute port_3_s_rx_bytes real
@attribute port_3_s_rx_crc_err real
@attribute port_3_s_rx_drop real
@attribute port_3_s_rx_error real
@attribute port_3_s_rx_frame_err real
@attribute port_3_s_rx_over_err real
@attribute port_3_s_rx_pkt real
@attribute port_3_s_tx_bytes real
@attribute port_3_s_tx_drop real
@attribute port_3_s_tx_error real
@attribute port_3_s_tx_pkt real
@attribute port_h_s_1_rx_bytes real
@attribute port_h_s_1_rx_crc_err real
@attribute port_h_s_1_rx_drop real
@attribute port_h_s_1_rx_error real
@attribute port_h_s_1_rx_frame_err real
@attribute port_h_s_1_rx_over_err real
@attribute port_h_s_1_rx_pkt real
@attribute port_h_s_1_tx_bytes real
@attribute port_h_s_1_tx_drop real
@attribute port_h_s_1_tx_error real
@attribute port_h_s_1_tx_pkt real
@attribute port_hmi_rx_bytes real
@attribute port_hmi_rx_crc_err real
@attribute port_hmi_rx_drop real
@attribute port_hmi_rx_error real
@attribute port_hmi_rx_frame_err real
@attribute port_hmi_rx_over_err real
@attribute port_hmi_rx_pkt real
@attribute port_hmi_tx_bytes real
@attribute port_hmi_tx_drop real
@attribute port_hmi_tx_error real
@attribute port_hmi_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
0,0,0,0,0,0,59382,3,704,85728,0,1185,25271,0,0,0,0,0,325,131689,0,0,512,58673,0,0,0,0,0,299,57769,0,0,495,89643,0,0,0,0,0,330,51731,0,0,489,84,0,0,0,0,0,2,44199,0,0,105,85728,0,0,0,0,0,1185,105807,0,0,842,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,57990,0,686,84723,0,1173,91101,0,0,0,0,0,372,113099,0,0,531,42317,0,0,0,0,0,313,97136,0,0,509,84539,0,0,0,0,0,337,95312,0,0,510,23920,0,0,0,0,0,12,41670,0,0,103,84723,0,0,0,0,0,1173,101563,0,0,815,0,0,0,0,0,0,0,"0"
0,0,0,0,0,0,60159,2,710,85869,0,1188,48519,0,0,0,0,0,373,155569,0,0,550,83917,0,0,0,0,0,332,70232,0,0,533,50105,0,0,0,0,0,352,109398,0,0,533,92678,0,0,0,0,0,47,42476,0,0,175,85869,0,0,0,0,0,1188,101141,0,0,855,0,0,3,0,1,0,0,"0"
0,0,0,0,0,0,51021,11,587,69740,18,965,126718,0,0,0,0,0,460,169825,0,0,727,66343,0,0,0,0,0,384,111087,0,0,673,128901,0,0,0,0,0,408,105767,0,0,668,21908,0,0,0,0,0,22,31929,0,0,342,76177,0,0,0,0,0,1058,103357,0,0,969,1,0,13,1,4,6,0,"0"
0,0,0,0,0,0,59979,1,709,85407,0,1184,81447,0,0,0,0,0,368,107604,0,0,604,113553,0,0,0,0,0,408,106397,0,0,621,36101,0,0,0,0,0,345,113695,0,0,544,89771,0,0,0,0,0,51,34832,0,0,191,88695,0,0,0,0,0,1238,146241,0,0,934,1,0,7,0,1,3,0,"0"
0,1,0,42,1,1,59475,1,706,85476,1,1182,77983,0,0,0,0,0,425,193366,0,0,583,126484,0,0,0,0,0,364,82871,0,0,568,41240,0,0,0,0,0,300,51851,0,0,494,74223,0,0,0,0,0,36,17841,0,0,152,87297,0,0,0,0,0,1214,107242,0,0,869,0,0,4,0,1,0,0,"0"
0,0,0,0,0,0,77511,2,711,86424,4,1199,83258,0,0,0,0,0,414,194419,0,0,652,69112,0,0,0,0,0,347,144964,0,0,588,150417,0,0,0,0,0,464,174321,0,0,642,152275,0,0,0,0,0,71,61634,0,0,265,88033,0,0,0,0,0,1225,137818,0,0,930,1,0,6,2,1,3,0,"0"
0,0,0,0,0,0,40725,0,687,85695,0,1183,64240,0,0,0,0,0,390,177401,0,0,590,70226,0,0,0,0,0,350,121466,0,0,580,157894,0,0,0,0,0,451,163344,0,0,629,71672,0,0,0,0,0,34,78350,0,0,198,86166,0,0,0,0,0,1194,137345,0,0,895,0,0,4,0,1,0,0,"0"
0,0,0,0,0,0,11477,0,129,37605,0,483,47195,0,0,0,0,0,283,85143,0,0,457,78409,0,0,0,0,0,336,69269,0,0,527,80970,0,0,0,0,0,364,88639,0,0,525,17912,0,0,0,0,0,8,21133,0,0,91,83355,0,0,0,0,0,1156,105230,0,0,791,0,0,2,1,1,0,0,"0"
0,0,0,0,0,0,51075,0,606,77389,0,1065,71031,0,0,0,0,0,278,138318,0,0,485,37485,0,0,0,0,0,338,166207,0,0,577,144391,0,0,0,0,0,414,127206,0,0,614,78828,0,0,0,0,0,46,97601,0,0,244,79341,0,0,0,0,0,1099,165133,0,0,831,0,0,5,0,1,0,0,"0"
815,5,14,17838,2,7,73707,0,616,77194,1,1063,185722,0,0,0,0,0,359,195314,0,0,542,43411,0,0,0,0,0,311,81747,0,0,530,43867,0,0,0,0,0,341,157173,0,0,552,151272,0,0,0,0,0,72,71141,0,0,222,81318,0,0,0,0,0,1131,198284,0,0,821,0,0,5,0,1,0,0,"0"
0,0,0,0,0,0,49544,2,603,77681,4,1071,15805,0,0,0,0,0,205,135094,0,0,428,158806,0,0,0,0,0,391,116593,0,0,604,88292,0,0,0,0,0,411,166537,0,0,572,113574,0,0,0,0,0,63,75658,0,0,219,81011,0,0,0,0,0,1122,176786,0,0,801,1,0,4,1,1,3,0,"0"
0,0,0,42,1,1,29349,0,582,54880,0,777,35772,0,0,0,0,0,252,129821,0,0,404,68851,0,0,0,0,0,323,93531,0,0,507,84403,0,0,0,0,0,339,58150,0,0,503,59520,0,0,0,0,0,26,31210,0,0,130,77859,0,0,0,0,0,1077,99216,0,0,721,0,0,3,0,1,0,0,"0"
0,0,0,0,0,0,50952,2,603,76720,1,1055,110030,0,0,0,0,0,300,123169,0,0,481,120383,0,0,0,0,0,368,90391,0,0,578,43619,0,0,0,0,0,342,178840,0,0,562,17954,0,0,0,0,0,9,95029,0,0,166,78132,0,0,0,0,0,1079,167795,0,0,809,0,0,6,0,1,0,0,"0"
74,1,1,0,0,0,51039,4,604,77096,4,1061,37362,0,0,0,0,0,258,174747,0,0,480,157705,0,0,0,0,0,404,127287,0,0,620,62582,0,0,0,0,0,365,126991,0,0,538,115106,0,0,0,0,0,57,57590,0,0,211,79271,0,0,0,0,0,1099,127625,0,0,789,0,0,8,1,1,0,0,"0"
0,0,0,0,0,0,50804,0,599,76311,0,1051,30216,0,0,0,0,0,293,206256,0,0,466,88301,0,0,0,0,0,356,81974,0,0,550,42011,0,0,0,0,0,311,105448,0,0,530,156780,0,0,0,0,0,74,60603,0,0,223,77277,0,0,0,0,0,1065,108353,0,0,768,0,0,4,1,1,0,0,"0"
84,1,2,42,1,1,50949,1,602,76579,1,1052,46273,0,0,0,0,0,219,70521,0,0,387,81282,0,0,0,0,0,347,71354,0,0,518,66049,0,0,0,0,0,350,100370,0,0,516,20092,0,0,0,0,0,15,6767,0,0,102,76645,0,0,0,0,0,1053,57950,0,0,706,0,0,3,0,1,0,0,"0"
2174,9,37,44520,4,16,0,0,0,0,0,0,19874,0,0,0,0,0,262,156577,0,0,465,136854,0,0,0,0,0,463,162203,0,0,628,44508,0,0,0,0,0,202,45095,0,0,401,128348,0,0,0,0,0,63,15083,0,0,178,69163,0,0,0,0,0,946,55148,0,0,637,0,0,3,2,1,0,0,"0"
0,0,0,0,0,0,42675,0,504,69110,0,944,27732,0,0,0,0,0,272,158476,0,0,411,83272,0,0,0,0,0,322,46159,0,0,519,49951,0,0,0,0,0,208,65251,0,0,398,77926,0,0,0,0,0,43,10344,0,0,140,68228,0,0,0,0,0,932,51475,0,0,614,0,0,1,2,1,0,0,"0"
0,0,0,0,0,0,42959,0,506,67396,0,921,71023,0,0,0,0,0,253,103925,0,0,429,94472,0,0,0,0,0,385,104525,0,0,539,51316,0,0,0,0,0,216,119338,0,0,418,17996,0,0,0,0,0,10,69915,0,0,138,68716,0,0,0,0,0,939,112827,0,0,641,1,0,2,1,1,3,0,"0"
