@relation class
@attribute hmi_dst_bytes real
@attribute hmi_dst_flow real
@attribute hmi_dst_pkt real
@attribute hmi_src_bytes real
@attribute hmi_src_flow real
@attribute hmi_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_2_s_rx_bytes real
@attribute port_2_s_rx_crc_err real
@attribute port_2_s_rx_drop real
@attribute port_2_s_rx_error real
@attribute port_2_s_rx_frame_err real
@attribute port_2_s_rx_over_err real
@attribute port_2_s_rx_pkt real
@attribute port_2_s_tx_bytes real
@attribute port_2_s_tx_drop real
@attribute port_2_s_tx_error real
@attribute port_2_s_tx_pkt real
@attribute port_3_s_rx_bytes real
@attribute port_3_s_rx_crc_err real
@attribute port_3_s_rx_drop real
@attribute port_3_s_rx_error real
@attribute port_3_s_rx_frame_err real
@attribute port_3_s_rx_over_err real
@attribute port_3_s_rx_pkt real
@attribute port_3_s_tx_bytes real
@attribute port_3_s_tx_drop real
@attribute port_3_s_tx_error real
@attribute port_3_s_tx_pkt real
@attribute port_hmi_rx_bytes real
@attribute port_hmi_rx_crc_err real
@attribute port_hmi_rx_drop real
@attribute port_hmi_rx_error real
@attribute port_hmi_rx_frame_err real
@attribute port_hmi_rx_over_err real
@attribute port_hmi_rx_pkt real
@attribute port_hmi_tx_bytes real
@attribute port_hmi_tx_drop real
@attribute port_hmi_tx_error real
@attribute port_hmi_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0}
@data
52281,9,600,73110,18,1011,25553,0,0,0,0,0,284,42217,0,0,505,25494,0,0,0,0,0,283,41876,0,0,500,25338,0,0,0,0,0,281,42805,0,0,506,76484,0,0,0,0,0,1059,77958,0,0,849,0,0,9,0,3,0,0,"0"
59130,3,702,82385,0,1143,24783,0,0,0,0,0,306,48812,0,0,843,21721,0,0,0,0,0,261,35917,0,0,540,39363,0,0,0,0,0,678,34100,0,0,469,86173,0,0,0,0,0,1192,70213,0,0,899,0,0,0,0,0,0,0,"0"
59073,0,698,85695,0,1185,25368,0,0,0,0,0,316,32595,0,0,484,20914,0,0,0,0,0,251,31713,0,0,463,24404,0,0,0,0,0,332,33625,0,0,469,84831,0,0,0,0,0,1173,65148,0,0,810,0,0,0,0,0,0,0,"0"
59575,1,704,86343,0,1196,26366,0,0,0,0,0,327,34376,0,0,503,21993,0,0,0,0,0,264,33327,0,0,480,25184,0,0,0,0,0,340,35338,0,0,487,86343,0,0,0,0,0,1196,68297,0,0,845,0,0,0,0,0,0,0,"0"
59519,0,706,75782,0,1060,25821,0,0,0,0,0,322,33128,0,0,490,21313,0,0,0,0,0,257,32558,0,0,475,24713,0,0,0,0,0,335,34192,0,0,476,85834,0,0,0,0,0,1187,66479,0,0,830,0,0,0,0,0,0,0,"0"
59319,0,699,86256,0,1194,25959,0,0,0,0,0,323,33228,0,0,493,21525,0,0,0,0,0,259,32658,0,0,480,24975,0,0,0,0,0,339,34229,0,0,477,86256,0,0,0,0,0,1194,67187,0,0,840,0,0,0,0,0,0,0,"0"
59343,0,705,75135,0,1052,25964,0,0,0,0,0,324,33082,0,0,490,21137,0,0,0,0,0,255,32091,0,0,469,24543,0,0,0,0,0,334,33897,0,0,472,85736,0,0,0,0,0,1186,66230,0,0,828,0,0,0,0,0,0,0,"0"
59191,0,696,85941,0,1189,25910,0,0,0,0,0,323,32902,0,0,489,21629,0,0,0,0,0,260,32487,0,0,475,24901,0,0,0,0,0,338,34187,0,0,477,86212,0,0,0,0,0,1193,66940,0,0,833,0,0,0,0,0,0,0,"0"
59720,3,710,86229,0,1193,26129,0,0,0,0,0,325,34145,0,0,499,21502,0,0,0,0,0,258,33073,0,0,477,24768,0,0,0,0,0,335,34997,0,0,482,85941,0,0,0,0,0,1189,67293,0,0,835,0,0,0,0,0,0,0,"0"
59204,0,697,85899,0,1189,25883,0,0,0,0,0,321,33079,0,0,490,21502,0,0,0,0,0,258,32761,0,0,479,24992,0,0,0,0,0,338,34347,0,0,478,86299,0,0,0,0,0,1194,67033,0,0,834,0,0,0,0,0,0,0,"0"
59938,3,712,86565,0,1197,26050,0,0,0,0,0,324,33633,0,0,494,21348,0,0,0,0,0,258,32709,0,0,474,24984,0,0,0,0,0,336,34281,0,0,476,86229,0,0,0,0,0,1193,66840,0,0,833,0,0,0,0,0,0,0,"0"
59140,0,697,85872,0,1189,25666,0,0,0,0,0,319,32790,0,0,487,21433,0,0,0,0,0,258,32328,0,0,476,24601,0,0,0,0,0,334,33840,0,0,472,85590,0,0,0,0,0,1185,66620,0,0,833,0,0,0,0,0,0,0,"0"
59630,3,707,86016,0,1189,25676,0,0,0,0,0,321,32986,0,0,490,21395,0,0,0,0,0,258,32416,0,0,475,24647,0,0,0,0,0,336,34250,0,0,478,86016,0,0,0,0,0,1189,66298,0,0,829,0,0,0,0,0,0,0,"0"
58078,0,686,85028,0,1177,25392,0,0,0,0,0,316,32756,0,0,486,21055,0,0,0,0,0,254,31719,0,0,464,24239,0,0,0,0,0,330,33501,0,0,467,85028,0,0,0,0,0,1177,65254,0,0,814,0,0,0,0,0,0,0,"0"
60100,3,710,86074,0,1191,25952,0,0,0,0,0,323,33074,0,0,491,21497,0,0,0,0,0,258,32417,0,0,472,25005,0,0,0,0,0,339,34231,0,0,477,86362,0,0,0,0,0,1195,66798,0,0,829,0,0,0,0,0,0,0,"0"
59523,0,707,86079,0,1191,25772,0,0,0,0,0,322,33226,0,0,493,21204,0,0,0,0,0,256,31847,0,0,464,24418,0,0,0,0,0,333,33971,0,0,474,85791,0,0,0,0,0,1187,65709,0,0,819,0,0,0,0,0,0,0,"0"
59247,0,698,85827,0,1188,26060,0,0,0,0,0,321,33811,0,0,493,21738,0,0,0,0,0,260,33020,0,0,475,25034,0,0,0,0,0,336,34872,0,0,479,85827,0,0,0,0,0,1188,67574,0,0,833,0,0,0,0,0,0,0,"0"
59954,0,712,85907,0,1188,25879,0,0,0,0,0,323,33250,0,0,492,21736,0,0,0,0,0,263,32743,0,0,478,24781,0,0,0,0,0,336,34487,0,0,480,86631,0,0,0,0,0,1198,67071,0,0,839,0,0,0,0,0,0,0,"0"
58926,0,694,86314,0,1195,25827,0,0,0,0,0,322,32963,0,0,490,21305,0,0,0,0,0,256,32214,0,0,473,24770,0,0,0,0,0,337,33939,0,0,474,85590,0,0,0,0,0,1185,66576,0,0,831,0,0,0,0,0,0,0,"0"
59666,3,708,85850,0,1187,23520,0,0,0,0,0,289,31366,0,0,450,21245,0,0,0,0,0,256,30786,0,0,437,22933,0,0,0,0,0,295,31742,0,0,441,85920,0,0,0,0,0,1188,64852,0,0,794,0,0,0,0,0,0,0,"0"
59347,0,700,85549,0,1185,21323,0,0,0,0,0,256,29850,0,0,414,21310,0,0,0,0,0,256,29835,0,0,414,21578,0,0,0,0,0,260,29848,0,0,414,86430,0,0,0,0,0,1197,63943,0,0,768,0,0,0,0,0,0,0,"0"
59565,3,706,86073,0,1189,21179,0,0,0,0,0,255,29528,0,0,409,21128,0,0,0,0,0,254,29479,0,0,408,21326,0,0,0,0,0,257,29479,0,0,408,85738,0,0,0,0,0,1185,63365,0,0,762,0,0,0,0,0,0,0,"0"
59091,0,697,85149,0,1179,21287,0,0,0,0,0,256,29477,0,0,409,21431,0,0,0,0,0,258,29555,0,0,410,21365,0,0,0,0,0,257,29555,0,0,410,85839,0,0,0,0,0,1189,63815,0,0,767,0,0,0,0,0,0,0,"0"
59551,3,706,85806,0,1188,21426,0,0,0,0,0,258,29778,0,0,412,21171,0,0,0,0,0,255,29613,0,0,410,21303,0,0,0,0,0,257,29745,0,0,412,85875,0,0,0,0,0,1187,63549,0,0,765,0,0,0,0,0,0,0,"0"
