@relation class
@attribute h_s_1_dst_bytes real
@attribute h_s_1_dst_flow real
@attribute h_s_1_dst_pkt real
@attribute h_s_1_src_bytes real
@attribute h_s_1_src_flow real
@attribute h_s_1_src_pkt real
@attribute hmi_dst_bytes real
@attribute hmi_dst_flow real
@attribute hmi_dst_pkt real
@attribute hmi_src_bytes real
@attribute hmi_src_flow real
@attribute hmi_src_pkt real
@attribute port_1_s_rx_bytes real
@attribute port_1_s_rx_crc_err real
@attribute port_1_s_rx_drop real
@attribute port_1_s_rx_error real
@attribute port_1_s_rx_frame_err real
@attribute port_1_s_rx_over_err real
@attribute port_1_s_rx_pkt real
@attribute port_1_s_tx_bytes real
@attribute port_1_s_tx_drop real
@attribute port_1_s_tx_error real
@attribute port_1_s_tx_pkt real
@attribute port_2_s_rx_bytes real
@attribute port_2_s_rx_crc_err real
@attribute port_2_s_rx_drop real
@attribute port_2_s_rx_error real
@attribute port_2_s_rx_frame_err real
@attribute port_2_s_rx_over_err real
@attribute port_2_s_rx_pkt real
@attribute port_2_s_tx_bytes real
@attribute port_2_s_tx_drop real
@attribute port_2_s_tx_error real
@attribute port_2_s_tx_pkt real
@attribute port_3_s_rx_bytes real
@attribute port_3_s_rx_crc_err real
@attribute port_3_s_rx_drop real
@attribute port_3_s_rx_error real
@attribute port_3_s_rx_frame_err real
@attribute port_3_s_rx_over_err real
@attribute port_3_s_rx_pkt real
@attribute port_3_s_tx_bytes real
@attribute port_3_s_tx_drop real
@attribute port_3_s_tx_error real
@attribute port_3_s_tx_pkt real
@attribute port_h_s_1_rx_bytes real
@attribute port_h_s_1_rx_crc_err real
@attribute port_h_s_1_rx_drop real
@attribute port_h_s_1_rx_error real
@attribute port_h_s_1_rx_frame_err real
@attribute port_h_s_1_rx_over_err real
@attribute port_h_s_1_rx_pkt real
@attribute port_h_s_1_tx_bytes real
@attribute port_h_s_1_tx_drop real
@attribute port_h_s_1_tx_error real
@attribute port_h_s_1_tx_pkt real
@attribute port_hmi_rx_bytes real
@attribute port_hmi_rx_crc_err real
@attribute port_hmi_rx_drop real
@attribute port_hmi_rx_error real
@attribute port_hmi_rx_frame_err real
@attribute port_hmi_rx_over_err real
@attribute port_hmi_rx_pkt real
@attribute port_hmi_tx_bytes real
@attribute port_hmi_tx_drop real
@attribute port_hmi_tx_error real
@attribute port_hmi_tx_pkt real
@attribute port_udp_counts real
@attribute rst real
@attribute tcp_connection real
@attribute tcp_failed real
@attribute tcp_port_counts real
@attribute udp_connection real
@attribute unknown_protocol real
@attribute class{0,1}
@data
0,0,0,0,0,0,59187,3,702,85410,0,1181,60927,0,0,0,0,0,339,120615,0,0,548,79014,0,0,0,0,0,349,72861,0,0,525,61209,0,0,0,0,0,343,118420,0,0,535,57436,0,0,0,0,0,36,53739,0,0,166,87314,0,0,0,0,0,1215,133794,0,0,872,0,0,2,0,1,0,0,"0"
320,5,5,0,3,0,76588,0,702,85532,5,1186,23392,0,0,0,0,0,293,112195,0,0,538,121480,0,0,0,0,0,378,76745,0,0,565,64993,0,0,0,0,0,381,138290,0,0,554,65875,0,0,0,0,0,37,48702,0,0,181,86889,0,0,0,0,0,1206,126118,0,0,892,0,0,2,0,1,0,0,"0"
0,0,0,0,1,0,59923,2,709,86040,0,1189,91117,0,0,0,0,0,356,82745,0,0,534,72140,0,0,0,0,0,357,100745,0,0,541,61226,0,0,0,0,0,347,113075,0,0,518,44939,0,0,0,0,0,23,23582,0,0,112,87520,0,0,0,0,0,1217,101999,0,0,835,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,64509,12,610,70870,23,983,104888,0,0,0,0,0,756,156460,0,0,1057,101129,0,0,0,0,0,719,127580,0,0,1034,117079,0,0,0,0,0,409,159767,0,0,947,78858,0,0,0,0,0,53,95306,0,0,653,80808,0,0,0,0,0,1115,231630,0,0,1289,0,0,11,0,4,0,0,"0"
0,0,0,0,0,0,46944,1,693,79743,0,1108,150235,0,0,0,0,0,1248,138866,0,0,1494,138685,0,0,0,0,0,1262,146518,0,0,1494,31699,0,0,0,0,0,358,170073,0,0,1099,56936,0,0,0,0,0,30,89796,0,0,758,87993,0,0,0,0,0,1227,187222,0,0,1506,0,0,2,0,1,0,0,"0"
274,4,4,211,5,3,131369,0,718,84139,4,1169,76437,0,0,0,0,0,1260,273523,0,0,1512,236633,0,0,0,0,0,1274,130938,0,0,1505,145203,0,0,0,0,0,412,182103,0,0,1138,63087,0,0,0,0,0,43,114004,0,0,752,88380,0,0,0,0,0,1226,246814,0,0,1491,0,0,2,0,1,0,0,"0"
406,1,8,17693,0,5,0,0,682,77689,0,1083,93465,0,0,0,0,0,1257,211411,0,0,1461,119775,0,0,0,0,0,1235,180573,0,0,1484,86600,0,0,0,0,0,375,119646,0,0,1077,106919,0,0,0,0,0,64,106540,0,0,766,88579,0,0,0,0,0,1231,184171,0,0,1456,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59347,0,704,74712,0,1046,114666,0,0,0,0,0,1226,143557,0,0,1416,153748,0,0,0,0,0,1267,146292,0,0,1452,25676,0,0,0,0,0,304,123257,0,0,1049,53922,0,0,0,0,0,29,79720,0,0,709,87648,0,0,0,0,0,1220,175756,0,0,1439,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59633,0,703,78444,0,1096,167488,0,0,0,0,0,1284,161323,0,0,1490,105496,0,0,0,0,0,1232,207051,0,0,1461,64081,0,0,0,0,0,351,153396,0,0,1128,54273,0,0,0,0,0,34,136715,0,0,752,87762,0,0,0,0,0,1221,228307,0,0,1508,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59446,0,706,80607,0,1121,129028,0,0,0,0,0,1272,161091,0,0,1446,94953,0,0,0,0,0,1200,113537,0,0,1420,42849,0,0,0,0,0,329,115787,0,0,1010,99952,0,0,0,0,0,49,40190,0,0,680,88120,0,0,0,0,0,1227,135268,0,0,1392,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59330,0,698,79899,0,1113,146710,0,0,0,0,0,1221,151058,0,0,1441,197025,0,0,0,0,0,1271,185598,0,0,1476,64962,0,0,0,0,0,369,149043,0,0,1044,26914,0,0,0,0,0,21,109558,0,0,657,91931,0,0,0,0,0,1270,255916,0,0,1420,0,0,2,0,1,0,0,"0"
42,1,1,42,1,1,59412,3,706,81585,2,1134,109063,0,0,0,0,0,1302,248010,0,0,1527,97182,0,0,0,0,0,1221,154394,0,0,1456,165659,0,0,0,0,0,425,129164,0,0,1112,97612,0,0,0,0,0,48,79108,0,0,715,88158,0,0,0,0,0,1225,176993,0,0,1429,0,0,2,0,1,0,0,"0"
92,2,1,0,1,0,59568,0,701,77187,0,1079,107224,0,0,0,0,0,1246,157282,0,0,1446,194519,0,0,0,0,0,1286,148348,0,0,1495,49656,0,0,0,0,0,378,209251,0,0,1112,56760,0,0,0,0,0,28,108772,0,0,739,87174,0,0,0,0,0,1211,191008,0,0,1450,0,0,1,0,1,0,0,"0"
0,0,0,0,0,0,59646,3,709,80349,0,1118,111073,0,0,0,0,0,1256,194756,0,0,1457,135029,0,0,0,0,0,1214,149905,0,0,1408,103588,0,0,0,0,0,363,140116,0,0,1122,29112,0,0,0,0,0,17,86279,0,0,715,87702,0,0,0,0,0,1217,149607,0,0,1433,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59159,0,697,80160,0,1115,72681,0,0,0,0,0,1207,158476,0,0,1379,254296,0,0,0,0,0,1317,139913,0,0,1498,83877,0,0,0,0,0,408,202174,0,0,1098,86668,0,0,0,0,0,42,37331,0,0,656,87925,0,0,0,0,0,1228,149569,0,0,1365,0,0,3,0,1,0,0,"0"
0,0,0,0,0,0,59177,3,701,78228,0,1093,93619,0,0,0,0,0,1259,232889,0,0,1455,113777,0,0,0,0,0,1221,193690,0,0,1451,150408,0,0,0,0,0,370,117391,0,0,1082,4452,0,0,0,0,0,6,163025,0,0,694,87260,0,0,0,0,0,1212,229434,0,0,1434,0,0,1,0,1,0,0,"0"
84,1,2,42,1,1,58704,0,695,81380,0,1131,121772,0,0,0,0,0,1386,410724,0,0,1585,211642,0,0,0,0,0,1299,183333,0,0,1536,248895,0,0,0,0,0,480,185234,0,0,1189,35860,0,0,0,0,0,18,144931,0,0,727,87600,0,0,0,0,0,1217,210521,0,0,1442,0,0,2,0,1,0,0,"0"
0,0,0,0,0,0,59990,2,708,84778,0,1175,92033,0,0,0,0,0,1208,131857,0,0,1393,97079,0,0,0,0,0,1219,145352,0,0,1408,49153,0,0,0,0,0,306,81748,0,0,998,42225,0,0,0,0,0,28,59923,0,0,639,86645,0,0,0,0,0,1201,123025,0,0,1356,0,0,2,0,1,0,0,"0"
